Course, Room, Semester, Period
SPH4UE, 2044, 1, 2, 
COP3X9, 2001, 1, 2, 
SBI4UE, 1031, 1, 2, 
SCH4UE, 1044, 1, 2, 
GLE2O1, PB3, 1, 1, 
AVI3M1, 2005, 2, 1, 
SNC1D2, 1044, 2, 4, 
AWQ4M1, 2005, 1, 4, 
ENG4C1, PB3, 2, 1, 
ENG2P1, PB2, 2, 4, 
GLE3O1, PB2, 2, 3, 
AVI4M1, 2005, 2, 3, 
PAF4O9, 1013, 2, 4, 
ADB2O1, 1070, 2, 1, 
ENG3C1, PB2, 2, 1, 
HPW3C1, PB2, 1, 3, 
ENG1P1, PB2, 2, 2, 
FSF1D2, PB2, 1, 4, 
AWC3O1, 2005, 1, 3, 
PPL2O8, 1024B, 2, 4, 
MCF3M1, PB5, 2, 4, 
PPL2O9, 1024B, 1, 1, 
SBI3C1, 1031, 2, 2, 
ENG1D2, PB5, 2, 2, 
CHY4U1, PB5, 2, 1, 
TGV4M1, 1032, 2, 3, 
CPW4U1, PB5, 2, 3, 
ADB4M1, 1070, 1, 2, 
AWC4M1, 2005, 2, 4, 
MPM2D2, PB5, 1, 4, 
CIA4UE, PB4, 1, 2, 
CIA4U1, PB4, 1, 3, 
ESLCO1, PB4, 1, 4, 
TEJ4M1, 1032, 1, 3, 
AMI3M1, 1069, 2, 3, 
CIE3M1, PB6, 2, 4, 
CGG3O1, PB6, 1, 1, 
AMI1O4, 1069, 1, 4, 
AWL3M1, 2005, 1, 1, 
ADA4M1, 1070, 2, 2, 
IDC3O1, PB6, 2, 3, 
PAI2O1, PB6, 1, 2, 
SNC2D2, 1044, 1, 4, 
AWJ2O1, 2005, 2, 2, 
CGC1D2, PB6, 1, 3, 
MHF4U6, PB3, 1, 2, 
MHF4U6, PB3, 1, 3, 
MCV4UE, PB3, 2, 2, 
MCV4UE, PB3, 2, 3, 
SNC1D7, 1065, 2, 3, 
SNC1D7, 1065, 1, 4, 
FSF3U1, PB6, 1, 1, 
FSF3U1, PB6, 1, 4, 
ICS2OG, 2038A, 2, 4, 
ICS2OG, 2038A, 1, 3, 
BOH4M1, PB9, 2, 4, 
BOH4M1, PB9, 1, 4, 
CLN4U1, PB9, 2, 3, 
CLN4U1, PB9, 1, 2, 
HSB4U1, PB9, 2, 1, 
HSB4U1, PB9, 1, 3, 
PPL4O9, 1024B, 2, 2, 
PPL4O9, 1024B, 1, 2, 
CHC2P1, PB9, 2, 2, 
CHC2P1, PB9, 1, 1, 
IDC4U3, PB8, 2, 3, 
IDC4U3, PB8, 1, 4, 
IDC4U1, PB8, 2, 2, 
IDC4U1, PB8, 1, 2, 
AWC2O1, 2005, 1, 2, 
AWC2O1, 2004, 2, 1, 
IDC4UE, PB8, 2, 4, 
IDC4UE, PB8, 1, 3, 
MFM2P1, PB8, 2, 1, 
MFM2P1, PB8, 1, 1, 
ENG4UE, 2034, 2, 2, 
ENG4UE, 2034, 1, 1, 
PPL3O9, 1024B, 2, 1, 
PPL3O9, 1024B, 1, 3, 
PAF3O9, 1013, 1, 2, 
PAF3O9, 1013, 2, 1, 
EWC4U1, 2034, 2, 4, 
EWC4U1, 2034, 1, 3, 
ESLDO1, 2034, 2, 3, 
ESLDO1, 2034, 1, 4, 
CHC2DG, 2034, 2, 1, 
CHC2DG, 2034, 1, 2, 
ENG2DG, 1063, 2, 1, 
ENG2DG, 1063, 1, 2, 
ENG3UE, 1063, 2, 3, 
ENG3UE, 1063, 1, 1, 
BBI2O7, 1065, 2, 2, 
BBI2O7, 1065, 1, 1, 
TGV3M1, 1032, 2, 2, 
TGV3M1, 1032, 1, 4, 
SBI3U6, 1031, 1, 3, 
SBI3U6, 1031, 2, 4, 
TGJ2O1, 1032, 2, 1, 
TGJ2O1, 1032, 1, 1, 
ICS4UE, 2038A, 2, 2, 
ICS4UE, 2038A, 1, 4, 
GLE1O1, 1063, 2, 4, 
GLE1O1, 1063, 1, 3, 
ESLEO1, 1063, 2, 2, 
