alt ed,ALEP2B,ALEP2K,ALEP2O,QUAD2A,QUAD3A,QUAD3P,QUAD4A,QUAD4P,PAI1O1,PAI2O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art,AEA4O1,ASM2O1,AVI1O1,AVI2O1,AVI3M1,AVI3MI,AVI3O1,AVI4M1,AWC2O1,AWC3O1,AWC4M1,AWD3M1,AWD4M1,AWJ2O1,AWL3M1,AWM4M1,AWQ3M1,AWQ3O1,AWQ4M1,AWS4M1,AWT3O1,AWT4M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cafeteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classroom,BAF3M1,BAI3E1,BAN4E1,BAT4M1,BBB4M1,BBI2O1,BDI3C1,BMI3C1,BMI3CO,BOG4E1,BOH4M1,BTA3O1,BTT1O1,CGC1D+,CGC1D1,CGC1D2,CGC1DG,CGC1P1,CGC1PV,CGF3M1,CGG3O1,CGR4E1,CGR4M1,CGU211,CGW4U,CGW4U1,CGW4UE,CHA3U1,CHC2D1,CHC2DG,CHC2DL,CHC2L1,CHC2P1,CHC2PV,CHI4U1,CHM4E1,CHT3O1,CHW3M1,CHY4C1,CHY4U1,CIA4U1,CIA4UE,CIE3M1,CIVCAR ESL,CIVCAR,CLN4U1,CLU3M1,CPW4U1,DCO3OC,DCO3OT,ELS2O1,ELS2OZ,ENG1D1,ENG1D2,ENG1DG,ENG1DY,ENG1L1,ENG1P1,ENG1PK,ENG1PV,ENG2D+,ENG2D1,ENG2DG,ENG2DO,ENG2L1,ENG2P1,ENG2PV,ENG3C1,ENG3CK,ENG3E1,ENG3U1,ENG3U2,ENG3UB,ENG3UE,ENG3UK,ENG3UO,ENG4C+,ENG4C1,ENG4CK,ENG4E1,ENG4U1,ENG4UB,ENG4UE
computer sci,ICS2O1,ICS2O2,ICS2OG,ICS3C1,ICS3U1,ICS3U6,ICS4U1,ICS4UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drama,ADA1O1,ADA2O1,ADA3M1,ADA4M1,ADB2O1,ADB3M1,ADB4M1,ADD3M1,ADG4M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family studies,HFA4C1,HFA4U1,HFC3M1,HFC3MT,HFN1O1,HFN2O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gym,PPL1O8,PPL1O9,PPL2O8,PPL2O9,PPL3O1,PPL3O8,PPL3O9,PPL3OC,PPL4O1,PPL4O8,PPL4O9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library classroom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
library,COP3X&,COP3X#,COP3X0,COP3X1,COP3X2,COP3X4,COP3X5,COP3X9,COP4X0,COP4X1,COP4X2,COP4X4,COP4X4,COP4X5,YYY4X1,YYY4X2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
music,AMG2O1,AMI1O1,AMI1O2,AMI1O4,AMI1OY,AMI2O1,AMI3M1,AMI4M1,AMR1O1,AMR2O1,AMR3M1,AMR4M1,AMV1O1,AMV2O1,AMV3M1,AMV4M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
science,SNC1D1,SNC1D2,SNC1DG,SNC1DI,SNC1DL,SNC1L1,SNC1LK,SNC1P1,SNC1PK,SNC1PV,SNC2D1,SNC2D2,SNC2DG,SNC2L1,SNC2P1,SNC2PV,SVN3M1,SVN3MK,SCH3U1,SCH3U6,SCH4C1,SCH4CK,SCH4U1,SCH4UE,SES4U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
science-biology,SBI3C1,SBI3U1,SBI3U6,SBI4U1,SBI4UE,SBI4UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
science-physics,SPH3U1,SPH4C1,SPH4U1,SPH4UE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
special education,KCCAND,KCCCND,KCCDND,KCCEND,KCCGND,KCWANZ,KENAND,KENANR,KENBND,KENBNR,KENCND,KENCNR,KENDND,KENEND,KENENR,KENFNR,KENGND,KGLAND,KGLANR,KGLBND,KGLBNR,KGLCND,KGLCNR,KGLDND,KGLEND,KGLENR,KGLFNR,KMMAND,KMMANR,KMMBND,KMMBNR,KMMCND,KMMCNR,KMMDND,KMMEND,KMMENR,KMMFNR,KMMGND,KPFAND,KPFBND,KPFCND,KPFDND,KPFEND,KPFGND,KPHANR,KPHBNR,KPHCNR,KPHENR,KPHFNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steam room,SNC1D7,MTH1W7,BBI2O7,IDC3OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology room,TCJ2O1,TCJ2O2,TCJ3E1,TCJ3E2,TCJ4E1,TDJ2O1,TDJ3M1,TDJ4M1,TEJ2O1,TEJ3M1,TEJ4M1,TFJ2O1,TFJ3C1,TFJ4C,TGJ1O1,TGJ1O1,TGJ2O1,TGJ3M1,TGJ4M1,TIJ1O1,TWJ3E1,TWJ4E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weight room,PAF2O8,PAF2O9,PAF3O1,PAF3O8,PAF3O9,PAF4O1,PAF4O8,PAF4O9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
